ts,event,strat,value
1783633048,DATA_SKIP,BTC,bars=0
1783633051,DATA_SKIP,ETH,bars=0
1783639275,DATA_SKIP,BTC,bars=0
1783639278,DATA_SKIP,ETH,bars=0
1784085713,BACKFILL_ENTRY,S20,1784073600
1784085713,ENTRY_ATR,S20,0.00796
1784085714,BACKFILL_ENTRY,S21,1784073600
1784085714,ENTRY_ATR,S21,0.00796
1784085714,BACKFILL_ENTRY,C20,1784073600
1784085714,ENTRY_ATR,C20,0.00796
1785082218,BACKFILL_ENTRY,S10,1785074400
1785082218,ENTRY_ATR,S10,0.00196
1785082218,BACKFILL_ENTRY,S12,1785074400
1785082218,ENTRY_ATR,S12,0.00196
1785082218,BACKFILL_ENTRY,S13,1785074400
1785082218,ENTRY_ATR,S13,0.00196
1785082219,BACKFILL_ENTRY,C10,1785074400
1785082219,ENTRY_ATR,C10,0.00196
1785152072,BACKFILL_ENTRY,S10,1785139200
1785152072,ENTRY_ATR,S10,0.00332
1785152073,BACKFILL_ENTRY,C10,1785139200
1785152073,ENTRY_ATR,C10,0.00332
1785171914,BACKFILL_ENTRY,S11,1785160800
1785171914,ENTRY_ATR,S11,0.00468
1785171914,BACKFILL_ENTRY,S12,1785160800
1785171914,ENTRY_ATR,S12,0.00468
1785171915,BACKFILL_ENTRY,S13,1785164400
1785171915,ENTRY_ATR,S13,0.00482
1785429781,BACKFILL_ENTRY,S11,1785420000
1785429781,ENTRY_ATR,S11,0.00626
1785845335,BACKFILL_ENTRY,S11,1785837600
1785845335,ENTRY_ATR,S11,0.00525
1786061442,BACKFILL_ENTRY,S20,1786039200
1786061442,ENTRY_ATR,S20,0.00525
1786061442,BACKFILL_ENTRY,S21,1786042800
1786061442,ENTRY_ATR,S21,0.00524
1786061443,BACKFILL_ENTRY,C20,1786039200
1786061443,ENTRY_ATR,C20,0.00525
1786395281,BACKFILL_ENTRY,S10,1786366800
1786395281,ENTRY_ATR,S10,0.00354
1786395282,BACKFILL_ENTRY,S12,1786366800
1786395282,ENTRY_ATR,S12,0.00354
1786395287,BACKFILL_ENTRY,C10,1786366800
1786395287,ENTRY_ATR,C10,0.00354
1786674921,BACKFILL_ENTRY,S10,1786665600
1786674921,ENTRY_ATR,S10,0.00394
1786674922,BACKFILL_ENTRY,S11,1786665600
1786674922,ENTRY_ATR,S11,0.00394
1786674922,BACKFILL_ENTRY,S12,1786665600
1786674922,ENTRY_ATR,S12,0.00394
1786674922,BACKFILL_ENTRY,S13,1786665600
1786674922,ENTRY_ATR,S13,0.00394
1786674923,BACKFILL_ENTRY,C10,1786665600
1786674923,ENTRY_ATR,C10,0.00394
1786931369,ENTRY_ATR,S10,0.00169
1786931370,ENTRY_ATR,S11,0.00169
1786931372,ENTRY_ATR,S12,0.00169
1786931375,ENTRY_ATR,C10,0.00169
1786936070,BACKFILL_ENTRY,S13,1786928400
1786936070,ENTRY_ATR,S13,0.00187
1787028274,ENTRY_ATR,S20,0.00474
1787028275,ENTRY_ATR,S21,0.00474
1787028275,ENTRY_ATR,C20,0.00474
1787237165,ENTRY_ATR,S20,0.01844
1787237166,ENTRY_ATR,S21,0.01844
1787237167,ENTRY_ATR,C20,0.01844
1787333840,ENTRY_ATR,S20,0.0125
1787333841,ENTRY_ATR,S21,0.0125
1787333841,ENTRY_ATR,C20,0.0125
1787384310,ENTRY_ATR,S20,0.01668
1787384310,ENTRY_ATR,S21,0.01668
1787384310,ENTRY_ATR,C20,0.01668
