strat,no,symbol,t_entry,t_exit,direction,entry,stop,tp,reason,pnl_pct,pnl_usd,equity
S11,1,BTC,2026-07-02T09:00:00+00:00,2026-07-02T12:00:00+00:00,SHORT,61159.6,61567.288,60548.068,stop,-0.807,-80.66,9919.34
S20,1,ETH,2026-07-02T12:00:00+00:00,2026-07-03T20:00:00+00:00,LONG,1661.97,1592.9477200000001,1765.50342,tp,6.09,608.96,10608.96
C20,1,ETH,2026-07-02T12:00:00+00:00,2026-07-03T20:00:00+00:00,LONG,1661.97,1592.9477200000001,1765.50342,tp,6.09,73.31,10073.31
S20,2,ETH,2026-07-15T00:00:00+00:00,2026-07-18T00:00:00+00:00,LONG,1880.71,1789.7533199999998,2017.1450200000004,time,-2.305,-230.51,10378.45
S21,1,ETH,2026-07-15T00:00:00+00:00,2026-07-18T00:00:00+00:00,LONG,1880.71,1789.7533199999998,2017.1450200000004,time,-2.305,-230.51,9769.49
C20,2,ETH,2026-07-15T00:00:00+00:00,2026-07-18T00:00:00+00:00,LONG,1880.71,1789.7533199999998,2017.1450200000004,time,-2.305,-24.01,10049.3
S10,1,BTC,2026-07-26T14:00:00+00:00,2026-07-26T22:00:00+00:00,SHORT,64687.2,65204.6976,63910.95359999999,stop,-0.94,-94.0,9906.0
S12,1,BTC,2026-07-26T14:00:00+00:00,2026-07-26T22:00:00+00:00,SHORT,64687.2,65204.6976,63910.95359999999,stop,-0.94,-94.0,9906.0
S13,1,BTC,2026-07-26T14:00:00+00:00,2026-07-26T22:00:00+00:00,SHORT,64687.2,65204.6976,63910.95359999999,stop,-0.94,-94.0,9906.0
C10,1,BTC,2026-07-26T14:00:00+00:00,2026-07-26T22:00:00+00:00,SHORT,64687.2,65204.6976,63910.95359999999,stop,-0.94,-117.5,9882.5
S10,2,BTC,2026-07-27T08:00:00+00:00,2026-07-30T08:00:00+00:00,SHORT,65133.0,66911.13299999999,62465.80050000002,time,1.169,116.9,10022.9
C10,2,BTC,2026-07-27T08:00:00+00:00,2026-07-30T08:00:00+00:00,SHORT,65133.0,66911.13299999999,62465.80050000002,time,1.169,42.32,9924.82
S11,2,BTC,2026-07-27T14:00:00+00:00,2026-07-30T14:00:00+00:00,SHORT,64663.4,67044.555,61091.66750000001,time,-0.118,-11.77,9907.57
S12,2,BTC,2026-07-27T14:00:00+00:00,2026-07-30T14:00:00+00:00,SHORT,64663.4,66911.13299999999,61291.80050000003,time,-0.118,-11.77,9894.23
S13,2,BTC,2026-07-27T15:00:00+00:00,2026-07-30T15:00:00+00:00,SHORT,64517.1,66911.13299999999,60926.05050000001,time,-0.415,-41.45,9864.55
S11,3,BTC,2026-07-30T14:00:00+00:00,2026-07-31T14:00:00+00:00,SHORT,64649.0,66051.11249999999,62545.83125000002,tp,3.113,311.32,10218.89
S11,4,BTC,2026-08-04T10:00:00+00:00,2026-08-07T10:00:00+00:00,SHORT,63743.3,65718.2565,60780.86525,time,-1.903,-190.33,10028.56
S20,3,ETH,2026-08-06T18:00:00+00:00,2026-08-09T18:00:00+00:00,LONG,1905.21,1815.14817,2040.3027450000002,time,0.674,67.36,10445.81
S21,2,ETH,2026-08-06T19:00:00+00:00,2026-08-09T19:00:00+00:00,LONG,1908.77,1815.14817,2049.202745,time,0.509,50.91,9820.4
C20,3,ETH,2026-08-06T18:00:00+00:00,2026-08-09T18:00:00+00:00,LONG,1905.21,1815.14817,2040.3027450000002,time,0.674,7.16,10056.46
S10,3,BTC,2026-08-10T13:00:00+00:00,2026-08-13T13:00:00+00:00,SHORT,64533.7,65679.14809999999,62815.527850000006,time,1.152,115.2,10138.1
S12,3,BTC,2026-08-10T13:00:00+00:00,2026-08-13T13:00:00+00:00,SHORT,64533.7,65679.14809999999,62815.527850000006,time,1.152,115.2,10009.43
C10,3,BTC,2026-08-10T13:00:00+00:00,2026-08-13T13:00:00+00:00,SHORT,64533.7,65679.14809999999,62815.527850000006,time,1.152,64.42,9989.24
S10,4,BTC,2026-08-14T00:00:00+00:00,2026-08-17T00:00:00+00:00,SHORT,63517.6,65679.14809999999,60275.27785000001,time,0.852,85.23,10223.33
S11,5,BTC,2026-08-14T00:00:00+00:00,2026-08-17T00:00:00+00:00,SHORT,63517.6,65810.11349999999,60078.829750000004,time,0.852,85.23,10113.79
S12,4,BTC,2026-08-14T00:00:00+00:00,2026-08-17T00:00:00+00:00,SHORT,63517.6,65679.14809999999,60275.27785000001,time,0.852,85.23,10094.66
S13,3,BTC,2026-08-14T00:00:00+00:00,2026-08-17T00:00:00+00:00,SHORT,63517.6,65679.14809999999,60275.27785000001,time,0.852,85.23,9949.78
C10,4,BTC,2026-08-14T00:00:00+00:00,2026-08-17T00:00:00+00:00,SHORT,63517.6,65679.14809999999,60275.27785000001,time,0.852,25.02,10014.26
S10,5,BTC,2026-08-17T00:00:00+00:00,2026-08-18T14:00:00+00:00,SHORT,62887.3,64643.34999999999,60253.22500000002,stop,-2.932,-293.24,9930.09
S11,6,BTC,2026-08-17T00:00:00+00:00,2026-08-18T14:00:00+00:00,SHORT,62887.3,64772.24999999999,60059.875000000015,stop,-3.137,-313.73,9800.06
S12,5,BTC,2026-08-17T00:00:00+00:00,2026-08-18T14:00:00+00:00,SHORT,62887.3,64643.34999999999,60253.22500000002,stop,-2.932,-293.24,9801.42
S13,4,BTC,2026-08-17T01:00:00+00:00,2026-08-18T14:00:00+00:00,SHORT,63084.0,64643.34999999999,60744.97500000001,stop,-2.612,-261.19,9688.59
C10,5,BTC,2026-08-17T00:00:00+00:00,2026-08-18T14:00:00+00:00,SHORT,62887.3,64643.34999999999,60253.22500000002,stop,-2.932,-105.16,9909.1
S20,4,ETH,2026-08-18T03:00:00+00:00,2026-08-19T14:00:00+00:00,LONG,1893.68,1856.5236699999998,1949.4144950000004,tp,2.803,280.32,10726.13
S21,3,ETH,2026-08-18T03:00:00+00:00,2026-08-19T14:00:00+00:00,LONG,1893.68,1856.5236699999998,1949.4144950000004,tp,2.803,280.32,10100.72
C20,4,ETH,2026-08-18T03:00:00+00:00,2026-08-19T14:00:00+00:00,LONG,1893.68,1856.5236699999998,1949.4144950000004,tp,2.803,71.84,10128.3
